Paper Title,Abstract
An Improved Flexible Hand Exoskeleton with SEA for Finger Strength Estimation and Progressive Resistance Exercise,"Hand exoskeletons can recognize user's intent and provide active resistance training to enhance finger strength in stroke patients. However, achieving fine human-robot interaction (HRI) while maintaining system simplicity for lightweight design remains a key challenge. In this work, we present an improved flexible hand exoskeleton with series elastic actuator (SEA) for hand strength estimation and progressive resistance exercise. The SEA design allows the hand exoskeleton to have backdrivability to improve HRI performance. By combining the flexible linkage with the flex sensor, we propose a novel user interface that is able to sensitively acquire hand motion intent. An Extended Kalman Filter (EKF) based tracking errors estimation is designed to evaluate the finger strength. The results of the finger strength estimation are used to adjust the parameters of the admittance model to provide small or large damping when the user's finger strength is low or high, achieving active admittance control based progressive resistance exercise. The feasibility has been demonstrated by two sets of experiments, and this work has established a hand exoskeleton solution for finger strength estimation and fine human-robot interaction."
A Variable Stiffness Supernumerary Robotic Limb with Pneumatic-Tendon Coupled Actuation,"Supernumerary robotic limbs (SRLs) can assist humans in achieving efficient and comfortable work in daily life or industrial assembly scenarios, requiring SRLs to switch between rigidity and flexibility to perform compliant movements while also providing stable support for humans to reduce fatigue from prolonged standing, existing SRLs struggle to achieve this transition. In this study, a variable stiffness supernumerary robotic limb (VSSRL) is implemented, capable of adjusting its position and stiffness through pneumatic-tendon coupled actuation. The position of the VSSRL is accurately modulated by tendons, while its stiffness is controlled by pneumatic-tendon coupled actuation, tendons significantly increase the overall stiffness of the VSSRL, and the fiber-reinforced actuators (FRAs) can dynamically adjust its stiffness in response to changes in dynamic loads. Furthermore, a kinematic model of the VSSRL and a stiffness model under the coupling of FRAs and tendons are developed. Then, the trajectory and stiffness of the VSSRL in task execution are assigned based on human motion, and a multi-objective control system for both position and stiffness of the VSSRL is designed based on reinforcement learning (RL) algorithm, achieving collaborative control of position and stiffness for the VSSRL. The accuracy of the control system is validated through experiments, which demonstrate that the load capacity of the VSSRL is significantly enhanced under the action of tendons and FRAs, and that the VSSRL is able to provide various modes of assistance for daily life activities."
Touch-Sensitive Hand Interactions for Social Robots Using Fiber Bragg Grating Sensors,"Physical human-robot interaction (pHRI) has been demonstrated to be essential in the implementation of social assistive robots (SARs), which require advanced sensing capabilities for accurate and responsive engagement. This study presents the development and validation of a fiber Bragg grating (FBG) sensor network integrated into the hand of the CASTOR robot to classify complex pHRIs. Nine pHRIs were collected and evaluated within the high five, pets, handshakes, hits, and pinches categories. Four machine learning (ML) algorithms were tested, and the Bagged Decision Tree Classifier (BDTC) achieved the best performance. During testing, the model achieved an accuracy of 98%. The results demonstrate that the proposed FBG sensor network can classify complex pHRIs. Future work will explore additional instrumented areas of the robot and expand the physical interaction analysis to enhance social robot adaptability and user experience."
Haptic Shared Control of a Pair of Microrobots for Telemanipulation Using Constrained Optimization,"Microrobotics implies actuation-related constraints that make safe telemanipulation particularly challenging. We present a haptic shared control system for electromagnetic-based telemanipulation of a pair of microrobots using a constrained optimization framework. Our contributions include: (1) a Quadratic Programming formulation with Control Lyapunov Functions and Control Barrier Functions, for safe and stable navigation in cluttered environments; (2) a shared control architecture, combining a haptic interface and simulation environment, to teleoperate the microrobots and enable micromanipulation capabilities; and (3) haptic shared control strategies offering visuo-haptic cues for task execution. The approach is validated through a user study, highlighting better navigation accuracy, control stability and task efficiency."
TacCap: A Wearable FBG-Based Tactile Sensor for Seamless Human-To-Robot Skill Transfer,"Tactile sensing is essential for dexterous manipulation, yet large-scale human demonstration datasets lack tactile feedback, limiting their effectiveness in skill transfer to robots. To address this, we introduce TacCap, a wearable Fiber Bragg Grating (FBG)-based tactile sensor designed for seamless human-to-robot transfer. TacCap is lightweight, durable, and immune to electromagnetic interference, making it ideal for real-world data collection. We detail its design and fabrication, evaluate its sensitivity, repeatability, and cross-sensor consistency, and assess its effectiveness through grasp stability prediction and ablation studies. Our results demonstrate that TacCap enables transferable tactile data collection, bridging the gap between human demonstrations and robotic execution. To support further research and development, we open-source our hardware design and software."
UniTac-NV: A Unified Tactile Representation for Non-Vision-Based Tactile Sensors,"Generalizable algorithms for tactile sensing remain underexplored, primarily due to the diversity of sensor modalities. Recently, many methods for cross-sensor transfer between optical (vision-based) tactile sensors have been investigated, yet little work focus on non-optical tactile sensors. To address this gap, we propose an encoder-decoder architecture to unify tactile data across non-vision-based sensors. By leveraging sensor-specific encoders, the framework creates a latent space that is sensor-agnostic, enabling cross-sensor data transfer with low errors and direct use in downstream applications. We leverage this network to unify tactile data from two commercial tactile sensors: the Xela uSkin uSPa 46 and the Contactile PapillArray. Both were mounted on a UR5e robotic arm, performing force-controlled pressing sequences against distinct object shapes (circular, square, and hexagonal prisms) and two materials (rigid PLA and flexible TPU). Another more complex unseen object was also included to investigate the model's generalization capabilities. We show that alignment in latent space can be implicitly learned from joint autoencoder training with matching contacts collected via different sensors. We further demonstrate the practical utility of our approach through contact geometry estimation, where downstream models trained on one sensor's latent representation can be directly applied to another without retraining."
"High Resolution, Large Area Vision-Based Tactile Sensing Based on a Novel Piezoluminescent Skin","The ability to precisely perceive external physical interactions would enable robots to interact effectively with the environment and humans. While vision-based tactile sensing has improved robotic grippers, it is challenging to realize high resolution vision-based tactile sensing in robot arms due to presence of curved surfaces, difficulty in uniform illumination, and large distance of sensing area from the cameras. In this paper, we propose a novel piezoluminescent skin that transduces external applied pressures into changes in light intensity on the other side for viewing by a camera for pressure estimation. By engineering elastomer layers with specific optical properties and integrating a flexible electroluminescent panel as a light source, we develop a compact tactile sensing layer that resolves the layout issues in curved surfaces. We achieved multipoint pressure estimation over an expansive area of 502 sq. cm with high spatial resolution, a Two-Point Discrimination distance of 3 mm horizontally and 5 mm vertically which is comparable to that of human fingers as well as a high localization accuracy (RMSE of 1.92 mm). These promising attributes make this tactile sensing technique suitable for use in robot arms and other applications requiring high resolution tactile information over a large area."
Compact LED-Based Displacement Sensing for Robot Fingers,"In this paper, we introduce a sensor designed for integration in robot fingers, where it can provide information on the displacements induced by external contact. Our sensor uses LEDs to sense the displacement between two plates connected by a transparent elastomer; when a force is applied to the finger, the elastomer displaces and the LED signals change. We show that using LEDs as both light emitters an receivers in this context provides high sensitivity, allowing such an emitter and receiver pairs to detect very small displacements. We characterize the standalone performance of the sensor by testing the ability of a supervised learning model to predict complete force and torque data from its raw signals, and obtain a mean error between 0.05 and 0.07 N across the three directions of force applied to the finger. Our method allows for finger-size packaging with no amplification electronics, low cost manufacturing, easy integration into a complete hand, and high overload shear forces and bending torques, suggesting future applicability to complete manipulation tasks."
A Variable-Stiffness Neck Exoskeleton with Pneumatic-Driven Actuators for Prolonged Head Flexion Assistance,"Surgeons are frequently subjected to prolonged unnatural postures, such as sustained neck flexion during surgical procedures, increasing their susceptibility to work-related musculoskeletal disorders (WMSDs). Despite the prevalence of such issues, there remains a scarcity of ergonomic solutions that effectively mitigate neck pain while permitting full operational functionality across diverse environments. In this paper, we present a novel variable-stiffness neck exoskeleton with pneumatic-driven tensile actuators for prolonged head flexion assistance. Its innovative design facilitates unrestricted head movement while providing expected neck support, thereby minimizing strain on antagonist muscle groups. Comprehensive experimental evaluations were conducted to assess the systemâ€™s performance. Transitional response times between flexible and rigid states were 0.28 s and 0.46 s, respectively. Experimental trials involving five healthy subjects demonstrated that the average muscular activity reduction of the splenius capitis and the sternocleidomastoid muscles were 38.8Â±2.0% and 9.7Â±2.5%, respectively. These experimental results demonstrated great potential of the exoskeleton in practical application for alleviating the physical burden during prolonged head flexion."
Design and Control of Soft Robotic Wearable with SMA-Based Artificial Muscle Fibers for Ankle Assistance,"Soft robotic wearables, with lightweight and flexible actuation, have shown promising results in assistive applications. However, it remains unclear whether they can be made fully comfortable and suitable for everyday use. In this study, we introduce a clothing-type soft robotic wearable embedded with shape memory alloy (SMA) based artificial muscle fibers for ankle plantarflexion assistance. We conducted force characterization of SMA wires, analyzing the effects of thickness, strain, applied current, and number of wires. The actuator was designed to achieve assistive force of 80 N and implemented a closed-loop controller with a PI controller to enable precise force and displacement control. Last, we demonstrate that the developed system can deliver controlled and repeatable forces in bench tests and modulate peak force according to target assistive levels on the ankle during walking in a user study."
Exo-ViHa: A Cross-Platform Exoskeleton System with Visual and Haptic Feedback for Efficient Dexterous Skill Learning,"Imitation learning has emerged as a powerful paradigm for robot skills learning. However, traditional data collection systems for dexterous manipulation face challenges, including a lack of balance between acquisition efficiency, consistency, and accuracy. To address these issues, we introduce Exo-ViHa, an innovative 3D-printed exoskeleton system that enables users to collect data from a first-person perspective while providing real-time haptic feedback. This system combines a 3D-printed modular structure with a slam camera, a motion capture glove, and a wrist-mounted camera. Various dexterous hands can be installed at the end, enabling it to simultaneously collect the posture of the end effector, hand movements, and visual data. By leveraging the first-person perspective and direct interaction, the exoskeleton enhances the task realism and haptic feedback, improving the consistency between demonstrations and actual robot deployments. In addition, it has cross-platform compatibility with various robotic arms and dexterous hands. Experiments show that the system can significantly improve the success rate and efficiency of data collection for dexterous manipulation tasks."
A Two-Stage Dynamic Parameters Identification Approach Based on Kalman Filter for Haptic Rendering in Telerobotics,"In teleoperated physical Human-Robot Interaction (pHRI), accurate contact force feedback is essential for operators to experience intuitive and responsive interaction. However, the presence of end-effectors on the manipulator often interferes with the force feedback, misrepresenting the real contact forces. To render a precise force to operators, it is critical to eliminate the non-contact forces arising from the end-effector toolâ€™s inertia. To achieve this, the fast and accurate dynamic parameters identification for the end-effectors is essential. Currently, existing dynamic identification algorithms process all collected data in one stage, in which the sensor noises for static and dynamic parameters are coupled, resulting in poor performance. In this letter, we propose a two-stage method for end-effector's inertial parameters identification. Our proposed method breaks the identification process into two steps: the static and the dynamic processing stages, which can make full use of data features and significantly improve the accuracy of mass and Center-of-Mass (COM) identification. Additionally, we introduce the Kalman Filter (KF) into the linear fitting to improve the identification speed. Comparative and ablation experiments are designed to validate the effectiveness of the proposed method. The results demonstrate that our method outperforms the RTLS method in reducing identification errors by 96% for mass and 81.2%â€“87.6% for COM. As for the haptic rendering, the errors are also reduced by 36.3% in direction of interaction and 99.5% in direction of gravity after the elimination of the end-effectorâ€™s inertia."
ViaTac: A High-Resolution Piezoresistive Tactile Sensor Array with Conformal Contact Surface for Shape Reconstruction,"Tactile sensing is crucial for robots to achieve human-like manipulation capabilities and safe interaction with the environment. Existing piezoresistive tactile sensors often suffer from limited spatial resolution and poor conformability to contact objects due to their unstretchable contact surfaces. In this paper, we present a low-cost and easily fabricated piezoresistive tactile sensor array that utilizes flexible printed circuit (FPC) via as electrodes to achieve high spatial resolution (64/cm^2), while incorporating stretchable materials for surface encapsulation to enable conformal contact with objects. Unified material selection for both the sensing and encapsulation layers ensures robust performance. We characterized the sensing performance, mechanical durability, and uniformity of the sensor array and further demonstrated its practical applications in contact shape reconstruction."
Three-Axis Flat and Lightweight Force/Torque Sensor for Enhancing Kinesthetic Sensing Capability of Robotic Hand (I),"When using a robot hand to grip objects, visual information is frequently adopted to determine the external characteristics of objects. However, in reality, purely visual data are insufficient to grasp unspecified objects; somatosensory feedback, which includes tactile and kinesthetic feedbacks, is required to understand the diverse intrinsic properties of objects. We implement a three-axis force/torque (F/T) sensor to measure the interaction force at the joints of a robotic hand and determine the various intrinsic characteristics that aid in grasping previously unknown objects. We primarily focus on a modular, compact, and lightweight structure to embed the sensors in the robotic hand. A novel radially symmetric diaphragm flexure structure is designed to achieve this objective. Several experiments are conducted to validate the performance of the F/T sensor. The functionality of the kinesthetic feedback is demonstrated using a stiffness and weight measurement experiment. The experimental findings demonstrate that the proposed sensor-embedded robotic hand can measure stiffness and weight with errors of 0.0073 N/mm and 8.72 g, respectively."
RoTipBot: Robotic Handling of Thin and Flexible Objects Using Rotatable Tactile Sensors,"This paper introduces RoTipBot, a novel robotic system for handling thin, flexible objects. Different from previous works that are limited to singulating them using suction cups or soft grippers, RoTipBot can count multiple layers and then grasp them simultaneously in a single grasp closure. Specifically, we first develop a vision-based tactile sensor named RoTip that can rotate and sense contact information around its tip. Equipped with two RoTip sensors, RoTipBot rolls and feeds multiple layers of thin, flexible objects into the centre between its fingers, enabling effective grasping. Moreover, we design a tactile-based grasping strategy that uses RoTipâ€™s sensing ability to ensure both fingers maintain secure contact with the object while accurately counting the number of fed objects. Extensive experiments demonstrate the efficacy of the RoTip sensor and the RoTipBot approach. The results show that RoTipBot not only achieves a higher success rate but also grasps and counts multiple layers simultaneously â€“ capabilities not possible with previous methods. Furthermore, RoTipBot operates up to three times faster than state-of-the-art methods. The success of RoTipBot paves the way for future research in object manipulation using mobilised tactile sensors. All the materials used in this paper are available at https://sites.google.com/view/rotipbot."
"A Compact, Cost-Effective, and Highly Sensitive Optical Blocking Structure (OBS) Tactile Sensor for Enhanced Robotic Grasping (I)","Haptic perception is essential for robotic grippers performing delicate handling tasks, yet designing a tactile sensor that is both low-cost and high-performance remains a challenge. This article addresses this issue by developing an optical blocking structure (OBS) sensor for tactile perception in robotic grippers. The OBS sensor is characterized by its ease of fabrication, cost-effectiveness (with a unit cost of 1.45), and high-performance metrics, including a maximum sensitivity of approximately 2.18 V/N, a wide pressure response range (>4 N), high resolution (0.009 N), a fast response time (15 ms), and a minimal dead zone (around 0.026 N). Experimental results demonstrate that a robotic gripper equipped with the OBS sensor can effectively detect object hardness, surface texture, and perform delicate force control tasks. Additionally, the OBS sensor exhibits high scalability. It can be configured into various array forms to enhance the gripperâ€™s sensing capabilities based on its structural characteristics. Validation experiments confirm that robotic grippers integrated with 2 Ã— 2 and 1 Ã— 6 array configurations of the OBS sensor can accurately detect multiple contact positions and forces. Consequently, the OBS sensor offers a straightforward and effective solution for enhancing tactile sensing in robotic grippers."
A Drivingâ€“Clamping Integrated Inchworm Linear Piezoelectric Actuator with Miniaturization and High Thrust Density (I),"This article presents an inchworm linear piezoelectric actuator (ILPA) to address the prevalent issues of bulk and complexity in existing ILPAs. It has the characteristics of miniaturization with a size of 44Ã—13Ã—24 mm^3 and a weight of 36.0 g. It integrates multiple functions within a compact form factor. The mechanical structure is simplified to a stator and an output shaft. The integrally machined stator is used as a guide unit without additional guideways and components. A key feature of the ILPA is its integrated driving mechanism that combines driving and clamping actions. This mechanism is designed as a bridge-type displacement amplifier, where the main displacement serves the driving function, while the parasitic displacement provides the clamping action. Experimental results show that the ILPA achieves a maximum speed of 1691.8 μm/s under the condition of square wave excitation with a frequency of 417 Hz and an input voltage of 120 V. Furthermore, it delivers a thrust of 1.5 N and a self-locking force of 2.1 N. Its force-to-volume ratio with a thrust density of 1.09Ã—10^-4 N/mm^3 stands out. It has been successfully employed in several practical applications, including detecting chips and microscopic observation tasks."
A Hybrid Variable-Stiffness Soft Back Support Device,"Back support devices (BSDs) have the potential to mitigate overexertion in industrial tasks and also to provide assistance to people with weak back muscle strength in daily activity. While state-of-the-art active BSDs can offer a high assistive force, they are bulky and heavy, making them uncomfortable for daily use. On the contrary, passive BSDs are compact but need manual adjustment to be versatile. This work presents a hybrid soft BSD that can provide task-oriented assistance by tuning the stiffness (0.58 N/mm, 0.92 N/mm, and 1.7 N/mm) and slack length (0 mm to 67 mm) in a compact design. The tunable stiffness allows for selecting a task-specific force profile, and the slack tuning will ensure that the device enables unhindered movement when assistance is not required. Compared with rigid devices, the device's compliance can potentially increase human comfort. We propose an analytical model that facilitates device design and estimates the device performance. Furthermore, the device's tuning capabilities are evaluated in human squatting and stooping experiments, showing that the desired force profile is correctly applied."
A Flexible Bending Sensor Based on C-Shaped FBG Array for Curvature and Gesture Recognition,"Human joints enable precise bending for fine manipulation and complex movements. Similarly, robotic flexibility relies on bending structures, where accurate bending perception is crucial for precise control and enhanced humanrobot interaction. This paper proposes a C-shaped fiber optic array, embedding a fiber Bragg Grating sensor array into a 2 mm thick silicone layer, successfully achieving a highly sensitive (300 pm/N) and electromagnetic interference-resistant bending sensor. The flexible sensor can sensitively detect external stimuli, such as the touch of a 1g weight or a feather, and exhibits a good linear relationship with curvature, facilitating accurate curvature classification. Additionally, leveraging the wearable nature of the sensor, we achieved the detection of finger bending angles. Finally, by attaching the sensor to the wrist and combining it with deep learning algorithms, we achieved 100% gesture recognition accuracy. This sensor holds significant potential for applications in fields such as fruit size classification, rehabilitation healthcare, and human-robot interaction."
"TransSoft: The Low-Cost, Adaptable, and Radial Reconfigurable Soft Hand for Diverse Object Grasping","This paper presents Transoft, a novel soft robotic hand with a reconfigurable design for grasping objects of varying properties. While recent soft robotic hands have improved grasping capabilities, they often struggle with a limited range of manipulable object categories and tasks due to hardware constraints. Transoft addresses these limitations with a scalable, low-cost, and highly adaptable structure that significantly expands the diversity of graspable objects and executable tasks. Unlike previous designs, Transoft features a unique kinematic structure that enhances radial reconfigurability , allowing it to adjust grasping strategies dynamically based on object size, shape, and material properties. The hand is cost-effective, built from off-the-shelf components in three hours for just 200. We evaluate Transoft through extensive real-world grasping experiments and benchmark it against existing soft grippers, demonstrating its superior adaptability and performance. Additionally, we provide a detailed comparison with related soft grippers to highlight Transoftâ€™s advantages. Supplementary materials, including design details and experiment results, are available on our project website."
